feature,importance_mean,importance_std
EtCO2__mean_24h,0.0,0.0
PaCO2__min_6h,0.0,0.0
EtCO2__std_6h,0.0,0.0
Unit2__mean_12h,0.0,0.0
FiO2__max_12h,0.0,0.0
FiO2__max_6h,0.0,0.0
TroponinI__min_12h,0.0,0.0
PTT__miss,0.0,0.0
TroponinI__min_24h,0.0,0.0
TroponinI__miss,0.0,0.0
AST__delta_6h,0.0,0.0
Age__std_12h,0.0,0.0
Age__prev1,0.0,0.0
Age__miss,0.0,0.0
Age__min_6h,0.0,0.0
Age__min_24h,0.0,0.0
TroponinI__prev1,0.0,0.0
pH__delta_1h,0.0,0.0
AST__std_6h,0.0,0.0
TroponinI__std_12h,0.0,0.0
AST__prev1,0.0,0.0
AST__miss,0.0,0.0
AST__min_6h,0.0,0.0
Unit1__delta_1h,0.0,0.0
Unit1__delta_6h,0.0,0.0
Age__mean_24h,0.0,0.0
Age__min_12h,0.0,0.0
Age__max_6h,0.0,0.0
Age__max_24h,0.0,0.0
Age__max_12h,0.0,0.0
Age__delta_6h,0.0,0.0
Age__delta_1h,0.0,0.0
Unit2__std_6h,0.0,0.0
Unit2__std_24h,0.0,0.0
Unit2__std_12h,0.0,0.0
Unit2__prev1,0.0,0.0
Unit2__miss,0.0,0.0
Unit2__min_6h,0.0,0.0
Unit2__min_24h,0.0,0.0
Unit1__max_12h,0.0,0.0
Chloride__max_6h,0.0,0.0
Bilirubin_direct__std_6h,0.0,0.0
Magnesium__std_6h,-4.4124872506517975e-09,8.824974501303595e-09
Creatinine__delta_6h,-6.7239963981446935e-09,1.344799279628939e-08
FiO2__delta_1h,-1.1644214598788283e-08,1.0724224131051687e-07
PaCO2__miss,-1.5370616407717197e-08,1.8844447670687474e-08
Hgb__prev1,-1.5965744147444782e-08,8.007447199786494e-09
SaO2__mean_12h,-2.1959079232469758e-08,1.0914081300024563e-07
BaseExcess__min_24h,-2.9222088984565134e-08,5.8444177969130256e-08
SaO2__min_24h,-3.1141588345273694e-08,6.228317669054739e-08
FiO2__delta_6h,-3.1394567118203655e-08,3.902539718569758e-08
Creatinine__mean_6h,-3.2440766313812655e-08,4.529439918431539e-08
EtCO2__delta_6h,-3.3234989716829365e-08,5.044604662552614e-08
Calcium__delta_6h,-3.5298968006358677e-08,3.851508335040917e-08
HCO3__delta_6h,-4.1570002782126416e-08,3.648270401391312e-08
Calcium__mean_6h,-4.590568970626318e-08,1.304557653111771e-08
BaseExcess__min_12h,-6.614492051804088e-08,5.873792013816413e-08
BUN__mean_6h,-7.411627743127147e-08,3.3063921350480094e-08
Alkalinephos__mean_6h,-1.0701513642297212e-07,2.428410930758899e-08
Calcium__miss,-1.092166844915421e-07,3.051767152425278e-07
EtCO2__mean_6h,-1.4207386209302845e-07,2.7297100592221196e-06
Potassium__min_6h,-1.559495942010658e-07,4.830530778033383e-07
Fibrinogen__prev1,-1.991898900566974e-07,5.578597788334099e-08
BaseExcess__max_6h,-2.187270849340201e-07,6.404005109853353e-06
AST__min_24h,-2.570734451071847e-07,5.262367495157876e-05
Calcium__delta_1h,-2.9954667160325686e-07,0.0
Phosphate__delta_6h,-3.0004506079622793e-07,1.0224666518014967e-06
Potassium__prev1,-3.745172718517398e-07,0.00010011597593744174
Creatinine__delta_1h,-4.797366852138386e-07,4.7422337452602687e-07
pH__min_24h,-5.977921828276278e-07,5.82853994774145e-07
Magnesium__mean_6h,-8.057948245383118e-07,3.0453835895534168e-05
HCO3__min_24h,-8.269643320276548e-07,7.141864582477803e-06
FiO2__mean_24h,-8.815783501125995e-07,2.501744705271085e-05
BUN__max_12h,-1.0220472238488958e-06,5.518467563050748e-06
Hgb__max_6h,-1.2189254739927712e-06,7.298216248322091e-06
PTT__std_12h,-1.2277930409647363e-06,1.4942735524424676e-06
PaCO2__delta_1h,-1.5129459962313212e-06,5.35955430223456e-07
Bilirubin_direct__mean_24h,-1.5582037602862586e-06,9.119905222198471e-06
DBP__delta_6h,-1.5588149642620924e-06,1.7929492223638386e-06
Hgb__max_12h,-1.59259743743638e-06,2.087423477651172e-06
